"DDKey","SortNumber","LCID","SeqNo","DisplayValue","CatalogID",
"&Project Manager","","2052","0","专案管理员","",
"&Project Manager","","1028","0","專案管理員","",
"&Project Manager","","1033","0","","",
"Project Manager","","2052","0","专案管理员","&Project Manager",
"Project Manager","","1028","0","專案管理員","&Project Manager",
"Project Manager","","1033","0","","&Project Manager",
"AcroMultiConsts.pas","100","2052","0","","",
"AcroMultiConsts.pas","100","1028","0","","",
"AcroMultiConsts.pas","100","1033","0","AcroMultiConsts.pas","",
"data dictionary: ""%%s"" already exists.","1","2052","0","资料字典“%%s”已经存在。","AcroMultiConsts.pas",
"data dictionary: ""%%s"" already exists.","1","1028","0","資料字典“%%s”已經存在。","AcroMultiConsts.pas",
"data dictionary: ""%%s"" already exists.","1","1033","0","","AcroMultiConsts.pas",
"component: ""%%s"" already added.","1","2052","0","元件“%%s”已经加入。","AcroMultiConsts.pas",
"component: ""%%s"" already added.","1","1028","0","元件“%%s”已經加入。","AcroMultiConsts.pas",
"component: ""%%s"" already added.","1","1033","0","","AcroMultiConsts.pas",
"dictionary reader ID ""%%s"" ,not registered!","1","2052","0","字典读取器“%%s”没有注册！","AcroMultiConsts.pas",
"dictionary reader ID ""%%s"" ,not registered!","1","1028","0","字典讀取器“%%s”沒有注冊！","AcroMultiConsts.pas",
"dictionary reader ID ""%%s"" ,not registered!","1","1033","0","","AcroMultiConsts.pas",
"dictionary reader for file extention ""%%s"" ,not registered!","1","2052","0","文件扩展名“%%s”的字典读取器没有注册！","AcroMultiConsts.pas",
"dictionary reader for file extention ""%%s"" ,not registered!","1","1028","0","文件擴展名“%%s”的字典讀取器沒有注冊！","AcroMultiConsts.pas",
"dictionary reader for file extention ""%%s"" ,not registered!","1","1033","0","","AcroMultiConsts.pas",
"Acroprise Multi-Language","1","2052","0","安德华多语言","",
"Acroprise Multi-Language","1","1028","0","安德華多語言","",
"Acroprise Multi-Language","1","1033","0","","",
"TreeView","0","2052","0","树形视图(TreeView)","Acroprise Multi-Language",
"TreeView","0","1028","0","樹形視圖(TreeView)","Acroprise Multi-Language",
"TreeView","0","1033","0","","Acroprise Multi-Language",
"Form2","0","2052","0","窗体2","Acroprise Multi-Language",
"Form2","0","1028","0","窗體2","Acroprise Multi-Language",
"Form2","0","1033","0","","Acroprise Multi-Language",
"ComboBox","0","2052","0","组合框(ComboBox)","Acroprise Multi-Language",
"ComboBox","0","1028","0","組合框(ComboBox)","Acroprise Multi-Language",
"ComboBox","0","1033","0","","Acroprise Multi-Language",
"Welcome:","1","2052","0","欢迎：","Acroprise Multi-Language",
"Welcome:","1","1028","0","歡迎：","Acroprise Multi-Language",
"Welcome:","1","1033","0","","Acroprise Multi-Language",
"LayoutPanel","1","2052","0","布局面板(LayoutPanel)","Acroprise Multi-Language",
"LayoutPanel","1","1028","0","布局面板(LayoutPanel)","Acroprise Multi-Language",
"LayoutPanel","1","1033","0","","Acroprise Multi-Language",
"ListView","0","2052","0","列表视图(ListView)","Acroprise Multi-Language",
"ListView","0","1028","0","列表視圖(ListView)","Acroprise Multi-Language",
"ListView","0","1033","0","","Acroprise Multi-Language",
"Acroprise.MultiLanguage.Demo.Devexpress.Form1","","2052","0","","",
"Acroprise.MultiLanguage.Demo.Devexpress.Form1","","1028","0","","",
"Acroprise.MultiLanguage.Demo.Devexpress.Form1","","1033","0","Acroprise.MultiLanguage.Demo.Devexpress.Form1","",
"Form1","0","2052","0","视窗1","Acroprise.MultiLanguage.Demo.Devexpress.Form1",
"Form1","0","1028","0","視窗1","Acroprise.MultiLanguage.Demo.Devexpress.Form1",
"Form1","0","1033","0","","Acroprise.MultiLanguage.Demo.Devexpress.Form1",
"ATM","0","2052","0","ATM","",
"ATM","0","1028","0","ATM","",
"ATM","0","1033","0","","",
"HintInfo","1","2052","0","提示","ATM",
"HintInfo","1","1028","0","提示","ATM",
"HintInfo","1","1033","0","","ATM",
"SaleAmount(yuan)","1","2052","0","销售额（元）","ATM",
"SaleAmount(yuan)","1","1028","0","銷售額（元）","ATM",
"SaleAmount(yuan)","1","1033","0","","ATM",
"SaleAmount","1","2052","0","销售额","ATM",
"SaleAmount","1","1028","0","銷售額","ATM",
"SaleAmount","1","1033","0","","ATM",
"User Group","1","2052","0","用户组","ATM",
"User Group","1","1028","0","用戶組","ATM",
"User Group","1","1033","0","","ATM",
"MonthATM","1","2052","0","月","ATM",
"MonthATM","1","1028","0","月","ATM",
"MonthATM","1","1033","0","Monthes","ATM",
"User accounts cannot be less than 3 characters or more than 10 characters.","1","2052","0","用户账号不能小于3个字符大于10个字符","ATM",
"User accounts cannot be less than 3 characters or more than 10 characters.","1","1028","0","用戶賬號不能小于3個字符大于10個字符","ATM",
"User accounts cannot be less than 3 characters or more than 10 characters.","1","1033","0","","ATM",
"Measure","1","2052","0","尺寸","ATM",
"Measure","1","1028","0","尺寸","ATM",
"Measure","1","1033","0","","ATM",
"VacantSlot","1","2052","0","空槽位","ATM",
"VacantSlot","1","1028","0","空槽位","ATM",
"VacantSlot","1","1033","0","","ATM",
"AddCustomerInfo","1","2052","0","新增客户信息","ATM",
"AddCustomerInfo","1","1028","0","新增客戶信息","ATM",
"AddCustomerInfo","1","1033","0","","ATM",
"User names cannot be less than 3 characters or more than 10 characters","1","2052","0","用户名不能小于3个字符大于10个字符","ATM",
"User names cannot be less than 3 characters or more than 10 characters","1","1028","0","用戶名不能小于3個字符大于10個字符","ATM",
"User names cannot be less than 3 characters or more than 10 characters","1","1033","0","","ATM",
"AlipayCollection","1","2052","0","支付宝收款","ATM",
"AlipayCollection","1","1028","0","支付寶收款","ATM",
"AlipayCollection","1","1033","0","","ATM",
"AlipayPublicKey","1","2052","0","支付宝公钥","ATM",
"AlipayPublicKey","1","1028","0","支付寶公鑰","ATM",
"AlipayPublicKey","1","1033","0","","ATM",
"AliAccount","1","2052","0","支付宝账号","ATM",
"AliAccount","1","1028","0","支付寶賬號","ATM",
"AliAccount","1","1033","0","","ATM",
"generated token is too long,bigger than 4000 bytes.","1","2052","0","生成的令牌太长，大于4000字节。","ATM",
"generated token is too long,bigger than 4000 bytes.","1","1028","0","生成的令牌太長，大于4000字節。","ATM",
"generated token is too long,bigger than 4000 bytes.","1","1033","0","","ATM",
"Unknown login type: %%s","1","2052","0","未知登录类型:%%s","ATM",
"Unknown login type: %%s","1","1028","0","未知登錄類型:%%s","ATM",
