"DDKey","SortNumber","LCID","SeqNo","DisplayValue","CatalogID",
"Home","","2052","0","首页","",
"Home","","1028","0","首頁","",
"Demo:translate at frontend browser,translate needed(vue)","","2052","0","","",
"Demo:translate at frontend browser,translate needed(vue)","","1028","0","","",
"Data Dictionary Editor","","2052","0","","",
"Data Dictionary Editor","","1028","0","","",
"Like Button","","2052","0","","",
"Like Button","","1028","0","","",
"Import Losted DDKeys...","","2052","0","","",
"Import Losted DDKeys...","","1028","0","","",
"Total Rows:","","2052","0","总行数：","",
"Total Rows:","","1028","0","總行數：","",
"Add one language","","2052","0","","",
"Add one language","","1028","0","","",
"Expand All","","2052","0","","",
"Expand All","","1028","0","","",
"Collapse All","","2052","0","","",
"Collapse All","","1028","0","","",
"Build New DD","","2052","0","","",
"Build New DD","","1028","0","","",
"Open DD File...","","2052","0","","",
"Open DD File...","","1028","0","","",
"Save DD as TreeGrid...","","2052","0","","",
"Save DD as TreeGrid...","","1028","0","","",
"Save DD as PlainTable...","","2052","0","","",
"Save DD as PlainTable...","","1028","0","","",
"Save DD as CSV...","","2052","0","","",
"Save DD as CSV...","","1028","0","","",
"Actions","","2052","0","","",
"Actions","","1028","0","","",
"Edit Row","","2052","0","","",
"Edit Row","","1028","0","","",
"Append Sibling Node...","","2052","0","","",
"Append Sibling Node...","","1028","0","","",
"Add Child Node","","2052","0","","",
"Add Child Node","","1028","0","","",
"DisplayText","","2052","0","","",
"DisplayText","","1028","0","","",
"Add Language...","","2052","0","","",
"Add Language...","","1028","0","","",
"Delete","","2052","0","","",
"Delete","","1028","0","","",
"Add SeqNo...","","2052","0","","",
"Add SeqNo...","","1028","0","","",
"Chinese (Traditional)","","2052","0","","",
"Chinese (Traditional)","","1028","0","","",
"Chinese (Simplified)","","2052","0","","",
"Chinese (Simplified)","","1028","0","","",
"Edit","","2052","0","","",
"Edit","","1028","0","","",
"SeqNo","0","2052","0","序号","",
"SeqNo","0","1028","0","序號","",
"DisplayValue","0","2052","0","显示值","",
"DisplayValue","0","1028","0","顯示值","",
"SortNumber","0","2052","0","排序码","",
"SortNumber","0","1028","0","排序碼","",
"DDKey","0","2052","0","原语","",
"DDKey","0","1028","0","原語","",
"Unfold","0","2052","0","展开","",
"Unfold","0","1028","0","展開","",
"Up","0","2052","0","向上","",
"Up","0","1028","0","向上","",
"UploadButton-Text","0","2052","0","UploadButton-文本","",
"UploadButton-Text","0","1028","0","UploadButton-文本","",
"use TAcroMultiScreenEvents to avoid translate some components","1","2052","0","用TAcroMultiScreenEvents来避免翻译某些不想翻译的元件","",
"use TAcroMultiScreenEvents to avoid translate some components","1","1028","0","用TAcroMultiScreenEvents來避免翻譯某些不想翻譯的元件","",
"Variable position change:","0","2052","0","变量位置改变：","",
"Variable position change:","0","1028","0","變量位置改變：","",
"Vertical","0","2052","0","垂直","",
"Vertical","0","1028","0","垂直","",
"Welcom","1","2052","0","欢迎","",
"Welcom","1","1028","0","歡迎","",
"Welcome","0","2052","0","欢迎","",
"Welcome","0","1028","0","歡迎","",
